q,h1_sensor,h1_serial,h2_sensor,h2_serial,h1_switch,h2_switch
21.5,2.8242636588633085,2.83,10.838232439335021,10.66,True,True
21.5,3.4670816047717365,3.13,10.699817232865728,10.81,True,True
21.5,2.57887615605137,3.06,10.631294490785837,10.7,True,True
21.5,2.615902547384491,3.06,11.173515778665658,10.62,True,True
21.5,3.6445364790521957,2.75,10.302959465190476,11.14,True,True
21.5,3.3841772547905573,2.92,10.723738921576066,10.36,True,True
21.5,2.3121151491663303,3.49,11.47532615429172,10.68,True,True
21.5,3.1561660207050313,3.04,10.267312235833732,11.41,True,True
21.5,1.9042073867799962,2.57,10.91552729772666,10.35,True,True
21.5,3.314010687913771,2.78,10.358843529012127,10.87,True,True
21.5,2.7944577303437517,2.53,10.811131075143138,10.42,True,True
21.5,3.473166269197214,3.13,9.861918311868449,10.77,True,True
21.5,2.904201336343646,2.93,9.50904564897725,9.93,True,True
21.5,3.7118863194013447,3.13,10.933765051828942,9.54,True,True
21.5,2.6913447348399386,3.4,10.998008517375037,10.85,True,True
21.5,2.962241028477604,3.23,9.99926666605394,10.97,True,True
21.5,2.7401400686683948,2.7,9.602378188901692,10.07,True,True
21.5,3.9831854747118824,2.83,10.746767029300916,9.65,True,True
21.5,2.957097887656644,3.38,9.78337602660681,10.69,True,True
21.5,2.7926668894954556,3.3,10.35267302190807,9.83,True,True
34.0,4.217256471349379,3.4,10.813611883427388,10.41,True,True
34.0,3.5413009804308277,3.97,10.958763655344162,10.99,True,True
34.0,4.0373133465267355,4.34,10.424863159667208,11.12,True,True
34.0,4.424441067141967,4.1,9.88556878326473,10.65,True,True
34.0,5.097002579814349,4.47,10.225769252159605,10.14,True,True
34.0,5.66822961110691,5.03,10.977808434795591,10.42,True,True
34.0,4.9385518997745,5.63,11.482036706975865,11.13,True,True
34.0,5.136566680980515,5.6,11.054026922757409,11.62,True,True
34.0,4.808192680589073,5.17,9.979962653817767,11.25,True,True
34.0,4.5180949177283,5.04,10.685248952424011,10.25,True,True
34.0,5.877869160509431,5.06,10.371991725422713,10.84,True,True
34.0,6.2090818921650595,5.25,10.910454135507539,10.6,True,True
34.0,5.535204005697993,6.18,11.385082417496331,11.08,True,True
34.0,6.005976443900635,6.09,10.932310380281288,11.53,True,True
34.0,6.240096462812826,5.77,10.406878158097898,11.14,True,True
34.0,5.780851508144494,6.08,12.91523543324213,10.65,True,True
34.0,5.595929623033828,6.54,11.88141848878176,12.94,True,True
34.0,7.2740104951318765,5.66,11.34314651665835,12.07,True,True
34.0,6.865952382858712,6.26,12.268949609021652,11.56,True,True
34.0,6.485809970913799,7.21,12.478989726916144,12.4,True,True
34.0,6.665184420666634,6.75,12.457982527789683,12.62,True,True
34.0,7.353334177399493,6.58,11.92698195926183,12.61,True,True
34.0,6.393789621313744,6.85,12.74741379214733,12.13,True,True
34.0,5.9852086164406035,7.06,11.459854590019846,12.87,True,True
34.0,6.878755423395156,6.07,12.665262983324165,11.68,True,True
34.0,6.854825411596631,6.61,13.38392645003918,12.76,True,True
34.0,7.346436459211341,6.99,13.904698371113515,13.49,True,True
34.0,6.658529645109635,7.14,13.423062874002705,14.01,True,True
34.0,6.1974038416126325,6.96,12.73885100821691,13.58,True,True
34.0,6.515606978705013,6.39,13.55676914295814,12.9,True,True
34.0,6.278966211157498,6.53,12.845518521628575,13.64,True,True
34.0,6.734258018014662,6.34,13.96875928929558,13.01,True,True
34.0,7.026876394512966,6.7,13.793487920198194,14.04,True,True
34.0,6.728355536137949,6.84,14.661424461021797,13.92,True,True
34.0,6.105977236168262,7.06,13.706601273125491,14.74,True,True
34.0,7.404768060620521,6.35,13.418689553629479,13.85,True,True
34.0,6.729657315017896,6.63,14.468276417138169,13.56,True,True
34.0,7.880574746926521,7.28,14.479226338285917,14.55,True,True
34.0,7.302686894662156,7.2,13.81256693296049,14.6,True,True
34.0,6.706718421642202,7.46,14.043014381973672,13.98,True,True
34.0,7.122254077552677,7.08,15.43064474032925,14.16,True,True
34.0,6.60465301301686,7.13,15.05472190373394,15.48,True,True
34.0,7.426181016769611,6.86,15.51605411849345,15.16,True,True
34.0,6.991337280647409,7.04,14.80785934336978,15.59,True,True
34.0,6.631834958752754,7.11,15.449180113817768,14.94,True,True
34.0,8.135736845102034,6.97,14.769026834573344,15.52,True,True
34.0,7.7322744273393536,7.13,14.947669962042845,14.91,True,True
34.0,7.963135262137147,7.92,15.41064608886851,15.08,True,True
34.0,7.217333260728454,7.85,14.961866872789102,15.52,True,True
34.0,7.455211636848178,7.52,15.169776306814942,15.1,True,True
34.0,7.044136759911626,7.33,15.062638705173697,15.27,True,True
34.0,7.760378155175232,7.24,15.898729885420227,15.18,True,True
34.0,7.161214455989204,7.47,15.61074103430701,15.97,True,True
34.0,6.372813276877472,7.43,15.74306015929001,15.73,True,True
34.0,7.0307341078542365,6.88,17.146912202757214,15.82,True,True
34.0,7.695015037518474,6.93,15.681478282172952,17.16,True,True
34.0,7.510894968128771,7.05,16.4681455807114,15.83,True,True
34.0,6.873742095323866,7.71,15.67599874802694,16.54,True,True
34.0,7.396691866485506,7.1,16.924798708675297,15.8,True,True
34.0,7.453440145756198,7.31,16.454635567587513,16.96,True,True
34.0,7.429795878372536,7.32,17.233528950025487,16.56,True,True
34.0,7.139221067062229,7.56,16.510821163916322,17.29,True,True
34.0,6.662414508548811,7.18,16.140700429593576,16.62,True,True
34.0,7.1311628056815985,6.89,17.426530516655756,16.23,True,True
34.0,7.38383925184569,7.11,17.36014443711958,17.45,True,True
34.0,7.1946177914610825,7.23,17.279235241415744,17.44,True,True
34.0,7.203312176808577,7.28,17.55971331867656,17.36,True,True
34.0,7.609885640180808,7.25,16.92924437024319,17.63,True,True
34.0,7.480297433490486,7.25,16.91766682888589,17.04,True,True
34.0,7.619242836193519,7.53,17.89454549231363,17.01,True,True
34.0,7.805196234659124,7.68,17.571660637984134,17.95,True,True
34.0,6.9693380720378855,7.61,17.908603333732295,17.67,True,True
34.0,7.043395166899129,7.49,17.436438438319684,17.98,True,True
34.0,6.5291225299118185,6.94,18.06858777125046,17.52,True,True
34.0,8.218635687253373,6.97,17.96212538313906,18.11,True,True
34.0,6.55504156762431,7.22,16.50570451099573,18.04,True,True
34.0,7.5822845410629816,7.25,17.974152423215067,16.65,True,True
34.0,8.154092654180182,7.26,16.937911729194944,17.99,True,True
34.0,6.847897243075543,7.6,18.702882713747638,17.07,True,True
34.0,7.319788863111317,7.88,18.374394030374507,18.73,True,True
34.0,7.399367165656,7.01,19.05299128688589,18.45,True,True
34.0,7.4653845005380965,7.46,18.111744810071137,19.1,True,True
34.0,7.551456535287774,7.26,17.874348586619266,18.22,True,True
34.0,7.696097856668708,7.44,19.13433382697833,17.96,True,True
34.0,7.0498680800179105,7.8,18.608773662995564,19.17,True,True
34.0,7.5405080299866025,7.32,18.899696978206034,18.7,True,True
34.0,7.8410690110760735,7.31,19.989239655317032,18.96,True,True
34.0,7.067728224623843,7.82,19.78141950305186,20.03,True,True
34.0,7.035832648017914,7.47,18.528245606297446,19.86,True,True
34.0,7.455090229685935,6.86,18.49092759586652,18.63,True,True
34.0,6.855161672082584,7.21,19.790762453236848,18.56,True,True
34.0,7.856495715939089,7.43,18.63367980722323,19.81,True,True
34.0,6.299533947784621,7.08,18.510005315883667,18.74,True,True
34.0,7.533566102658337,7.19,19.711154346405664,18.58,True,True
34.0,6.8400597804397085,7.06,19.322641958617318,19.71,True,True
34.0,7.306662132211248,7.18,19.847474462159134,19.4,True,True
34.0,7.6334885893382465,7.14,19.55408930132573,19.88,True,True
