sp,h1_switch,h2_switch,h1_sensor,h2_sensor,q,h1_serial,h2_serial
10.3644,True,True,3.0171544384040834,10.699428440247605,21.5,3.57,10.23
10.3644,True,True,3.6455679431040293,10.251241650751572,21.73,3.59,10.65
10.3644,True,True,3.2675284544481555,11.13012506298301,21.5,3.17,10.28
10.3644,True,True,2.5100207268093637,11.902456044404353,21.65,3.52,11.06
10.3644,True,True,3.2481399804540105,10.97351950835543,21.5,3.07,11.84
10.3644,True,True,2.951261513260912,10.806507760006863,21.5,2.72,11.02
10.3644,True,True,3.4747012913758706,10.75133924664142,21.5,3.07,10.8
10.3644,True,True,3.26856109517527,10.317106664581948,21.5,3.13,10.75
10.3644,True,True,2.3661277964354492,10.607727324982815,21.5,3.25,10.33
10.3644,True,True,3.2076020296358054,9.798634554783796,21.55,2.94,10.58
10.3644,True,True,2.9387809112975463,9.577517467998392,21.5,2.67,9.88
10.3644,True,True,2.015567768005192,10.00004046134873,22.23,3.06,9.61
10.3644,True,True,3.977565571353061,9.812356774820378,22.65,2.74,10.01
10.3644,True,True,3.185109246120533,9.849596860563722,22.05,2.9,9.89
10.3644,True,True,3.3977556959757984,10.146846333941324,22.23,3.55,9.85
10.3644,True,True,2.612382384815835,9.840308307568712,22.3,3.3,10.15
10.3644,True,True,2.834652919188622,11.004265487571347,21.86,3.03,9.88
10.3644,True,True,2.337073281996281,9.671846065928253,22.27,2.96,10.95
18.8644,True,True,2.2813320010618874,11.078337665939484,21.5,2.52,9.79
18.8644,True,True,3.410425028362028,10.860270209751016,34.0,3.06,11.06
18.8644,True,True,2.726109595135991,10.890869341227942,33.43,3.34,11.07
18.8644,True,True,3.7164659109250513,9.924263781277126,33.54,3.65,11.06
18.8644,True,True,2.9477182304099503,11.493790981939428,33.67,3.54,10.21
18.8644,True,True,5.154196795625986,9.39464028071161,34.0,4.12,11.57
18.8644,True,True,4.729100174922926,11.109273923859092,33.15,3.95,9.77
18.8644,True,True,5.067942979855296,9.960118865910935,34.0,5.45,11.2
18.8644,True,True,5.792232680758989,10.961378858427777,33.96,4.93,10.24
18.8644,True,True,5.02545793763524,11.257238366128886,34.0,5.7,11.1
18.8644,True,True,5.7890038733002465,11.099896256607257,34.0,5.66,11.41
18.8644,True,True,5.059062324839523,10.787260289522669,34.0,5.49,11.28
18.8644,True,True,5.211865820243657,10.797639329052654,34.0,5.57,10.98
18.8644,True,True,6.1049117549082395,11.273570151339324,34.0,5.32,10.98
18.8644,True,True,5.0996956027999225,11.59173020719141,34.0,5.8,11.43
